"pathway","lfc","se","W","p_val","q_val","diff"
"PWY-3801: sucrose degradation II (sucrose synthase)",0.660199263922435,0.138473225360347,4.76770337517889,0.00204114547054319,0.0385051850986206,TRUE
"PWY-5097: L-lysine biosynthesis VI",0.484579724640745,0.114218078318553,4.24258341389054,0.00382805868115105,0.0385051850986206,TRUE
"PWY-5103: L-isoleucine biosynthesis III",0.477081133230183,0.118130959580618,4.0385783280174,0.00494176195583149,0.0385051850986206,TRUE
"PWY-5667: CDP-diacylglycerol biosynthesis I",0.498382591555365,0.107051850385715,4.65552524089645,0.00232670918718916,0.0385051850986206,TRUE
"PWY-5686: UMP biosynthesis I",0.540752952291832,0.133178529973451,4.06036132400342,0.00480739939884151,0.0385051850986206,TRUE
"PWY-5723: Rubisco shunt",0.653195004557597,0.137345354901502,4.75585799771706,0.00206938710410566,0.0385051850986206,TRUE
"PWY-5941: glycogen degradation II",0.575496322589408,0.13331140562499,4.31693237267559,0.00349329188661021,0.0385051850986206,TRUE
"PWY-5971: palmitate biosynthesis (type II fatty acid synthase)",0.536521154335215,0.122957839104328,4.36345627284475,0.00330025601364335,0.0385051850986206,TRUE
"PWY-5973: cis-vaccenate biosynthesis",0.578767313084739,0.133225193124609,4.34427828183671,0.00337836976468654,0.0385051850986206,TRUE
"PWY-5981: CDP-diacylglycerol biosynthesis III",0.524097376926019,0.0986838252444031,5.31087415417901,0.00111019511011771,0.0385051850986206,TRUE
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.521562889787651,0.113198237257545,4.60751777080246,0.00246218729687937,0.0385051850986206,TRUE
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.521562889787651,0.113198237257545,4.60751777080246,0.00246218729687937,0.0385051850986206,TRUE
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.584752286266678,0.135930881691439,4.30183545483106,0.00355857382638604,0.0385051850986206,TRUE
"PWY-6317: D-galactose degradation I (Leloir pathway)",0.509282208235802,0.121613661663096,4.18770556918726,0.00409774211085775,0.0385051850986206,TRUE
"PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)",0.588785654202839,0.1382875581711,4.25769072785526,0.00375728197265535,0.0385051850986206,TRUE
"PWY-6549: L-glutamine biosynthesis III",0.362904807104958,0.0853477121536755,4.25207422609663,0.00378342566011069,0.0385051850986206,TRUE
"PWY-6588: pyruvate fermentation to acetone",1.71373569261288,0.332940988852004,5.14726558157325,0.00212091060115539,0.0385051850986206,TRUE
"PWY-6609: adenine and adenosine salvage III",0.528235616899179,0.127235673467543,4.15163139788723,0.00428634356742522,0.0385051850986206,TRUE
"PWY-6628: superpathway of L-phenylalanine biosynthesis",0.363803473816007,0.0802029004523624,4.53603886847076,0.00268032680593691,0.0385051850986206,TRUE
"PWY-6629: superpathway of L-tryptophan biosynthesis",0.487681778883944,0.120016611640241,4.06345231896569,0.00478865947012966,0.0385051850986206,TRUE
"PWY-6863: pyruvate fermentation to hexanol (engineered)",1.06907557002354,0.255064684668236,4.19139000530038,0.00407899754951962,0.0385051850986206,TRUE
"PWY-6883: pyruvate fermentation to butanol II (engineered)",1.05405368678092,0.253175328433497,4.16333492407337,0.00422413267781203,0.0385051850986206,TRUE
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.440968019939186,0.107098428383784,4.11740887885853,0.00447409098166028,0.0385051850986206,TRUE
"PWY-7238: sucrose biosynthesis II",0.611962855761694,0.126397363414998,4.84157928003965,0.00187435332868565,0.0385051850986206,TRUE
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis",0.570471492321212,0.135359304898933,4.21449779715669,0.0039635605543881,0.0385051850986206,TRUE
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)",0.498712938505932,0.122151303576554,4.08274757537385,0.00467346933942801,0.0385051850986206,TRUE
"PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)",0.731811471408179,0.178454521654102,4.10082896541366,0.00456827450536557,0.0385051850986206,TRUE
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)",0.595906282469319,0.13041179697706,4.56942006998141,0.00257590776633589,0.0385051850986206,TRUE
"PWY-7664: oleate biosynthesis IV (anaerobic)",0.583119965248924,0.134418626534424,4.33808900063111,0.00340401164215692,0.0385051850986206,TRUE
"PWY-7790: UMP biosynthesis II",0.540752952291832,0.133178529973451,4.06036132400342,0.00480739939884151,0.0385051850986206,TRUE
"PWY-7791: UMP biosynthesis III",0.538328531398471,0.125806068624502,4.27903468635713,0.00365972495022824,0.0385051850986206,TRUE
"PWY0-1319: CDP-diacylglycerol biosynthesis II",0.498382591555365,0.107051850385715,4.65552524089645,0.00232670918718916,0.0385051850986206,TRUE
"PWY0-1477: ethanolamine utilization",0.791185627061954,0.126464635131856,6.25618083851694,0.000421622442925717,0.0385051850986206,TRUE
"PWY0-862: (5Z)-dodecenoate biosynthesis I",0.585269221181546,0.135063023005639,4.33330461703874,0.00342397979630668,0.0385051850986206,TRUE
"PWY1ZNC-1: assimilatory sulfate reduction IV",0.625280199531135,0.127212532991415,4.91524054138072,0.00172294698335142,0.0385051850986206,TRUE
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)",0.80566085750281,0.127371543942304,6.32528139776459,0.000394463172475659,0.0385051850986206,TRUE
"PYRIDNUCSAL-PWY: NAD salvage pathway I (PNC VI cycle)",0.468342147259996,0.114898394168389,4.07614180032506,0.00471255985620111,0.0385051850986206,TRUE
"RHAMCAT-PWY: L-rhamnose degradation I",0.573705035064854,0.13620422929821,4.21209413261878,0.00397539957410155,0.0385051850986206,TRUE
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II",0.527254978837269,0.130862749008253,4.02906849224158,0.00500170445610948,0.0385051850986206,TRUE
"SO4ASSIM-PWY: assimilatory sulfate reduction I",0.625280199531135,0.127212532991415,4.91524054138072,0.00172294698335142,0.0385051850986206,TRUE
"SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis",0.498730359769728,0.109865241062755,4.53947358550694,0.00266937009357976,0.0385051850986206,TRUE
"TRNA-CHARGING-PWY: tRNA charging",0.477195805843643,0.118388719422044,4.03075401248735,0.00499102254352567,0.0385051850986206,TRUE
"VALSYN-PWY: L-valine biosynthesis",0.548235114853688,0.120337734084082,4.55580387171514,0.00261794822767971,0.0385051850986206,TRUE
"METHYLGALLATE-DEGRADATION-PWY: methylgallate degradation",-1.13798222127732,0.204972813040433,-5.55186907179167,0.00515051421890411,0.0389950592212263,TRUE
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I",0.598748450659524,0.149891830598529,3.9945369155122,0.00522614195748393,0.0389950592212263,TRUE
"PWY-5675: nitrate reduction V (assimilatory)",-1.47844726173566,0.3145443581617,-4.70028224437467,0.00533576298073705,0.0392097734190525,TRUE
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)",0.575588057807397,0.145262760426778,3.96239239923802,0.00544498552396488,0.0394151937182532,TRUE
"PWY-6163: chorismate biosynthesis from 3-dehydroquinate",0.489878315477325,0.124307476142978,3.94085963835249,0.00559717245858101,0.0399210094472322,TRUE
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)",0.490536073717612,0.125443743226432,3.91040685729676,0.00582038662152225,0.0409114132092506,TRUE
"FERMENTATION-PWY: mixed acid fermentation",0.330268072985452,0.0863690814824829,3.82391554149427,0.00650904478808219,0.0429954011289351,TRUE
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis",0.583270866858514,0.152162237471918,3.83321694363332,0.00643088955556116,0.0429954011289351,TRUE
"PWY-3781: aerobic respiration I (cytochrome c)",0.491937071935091,0.128850101529973,3.81790209005507,0.00656012305884783,0.0429954011289351,TRUE
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.379983168308309,0.0989655278612846,3.83955076600929,0.00637825462400542,0.0429954011289351,TRUE
"PWY-6385: peptidoglycan biosynthesis III (mycobacteria)",0.472592249715703,0.12297833932795,3.84289015690339,0.00635069288574928,0.0429954011289351,TRUE
"DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis",0.425146675030846,0.112787468603541,3.76944957001632,0.00698795870919174,0.0430181864303212,TRUE
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0.458615363236701,0.122018671702037,3.75856708518034,0.00708816763785243,0.0430181864303212,TRUE
"GLUCONEO-PWY: gluconeogenesis I",0.442600697137579,0.117108916013846,3.77939368071044,0.00689773655712012,0.0430181864303212,TRUE
"PEPTIDOGLYCANSYN-PWY: peptidoglycan biosynthesis I (meso-diaminopimelate containing)",0.474284109898184,0.125899193369161,3.76717353944827,0.00700878893595659,0.0430181864303212,TRUE
"PWY-5505: L-glutamate and L-glutamine biosynthesis",0.587024679690707,0.156523353217498,3.75039677865197,0.00716442866412638,0.0430181864303212,TRUE
"PWY-6604: superpathway of Clostridium acetobutylicum acidogenic and solventogenic fermentation",0.805622404756598,0.20181105806219,3.99196363416487,0.00718448062032169,0.0430181864303212,TRUE
"PWY-7221: guanosine ribonucleotides de novo biosynthesis",0.46498622723598,0.122709161096398,3.7893358823527,0.0068087969093535,0.0430181864303212,TRUE
"PWY-6151: S-adenosyl-L-methionine salvage I",0.58361006324244,0.157246447183084,3.71143560759078,0.00754056030122814,0.0440429829338847,TRUE
"PWY-6594: superpathway of Clostridium acetobutylicum solventogenic fermentation",0.81618781145385,0.206919352275074,3.94447306392505,0.00758558197991077,0.0440429829338847,TRUE
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",0.437947046389203,0.118278576996701,3.70267429241576,0.00762806302360064,0.0440429829338847,TRUE
"ARO-PWY: chorismate biosynthesis I",0.500927642515219,0.135638871839265,3.69309797200929,0.00772496821915748,0.0440777598387221,TRUE
"PWY-6353: purine nucleotides degradation II (aerobic)",0.474738818205654,0.129476063475658,3.66661454991568,0.00799998533505434,0.0446046092171452,TRUE
"TRPSYN-PWY: L-tryptophan biosynthesis",0.502079037110622,0.1369370172325,3.66649608161218,0.008001239179158,0.0446046092171452,TRUE
"1CMET2-PWY: folate transformations III (E. coli)",0.414491689710472,0.113586743859428,3.64912027255079,0.00818746973651584,0.0451241229796612,TRUE
"NONMEVIPP-PWY: methylerythritol phosphate pathway I",0.45284337315596,0.124931604675868,3.62473030207889,0.00845684817462677,0.0455578259713742,TRUE
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",0.556993406056212,0.153320546316471,3.63286864962321,0.00836591030376423,0.0455578259713742,TRUE
"PWY-5705: allantoin degradation to glyoxylate III",0.845845571100661,0.233874094660845,3.61667063779454,0.00854796322349495,0.0455578259713742,TRUE
"PWY-2942: L-lysine biosynthesis III",0.411152864697961,0.114816417184949,3.58095884524654,0.00896467552622857,0.0467512648410845,TRUE
"PWY-3841: folate transformations II (plants)",0.464970138338146,0.129705210102859,3.58482236734682,0.00891854971032469,0.0467512648410845,TRUE
"CALVIN-PWY: Calvin-Benson-Bassham cycle",0.408220720144969,0.11595142946513,3.52061826256083,0.00971957079410647,0.0477916505879732,TRUE
"P23-PWY: reductive TCA cycle I",0.345678891359045,0.0973723860034314,3.55007107812746,0.0093428534092921,0.0477916505879732,TRUE
"PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)",0.371621544947808,0.104852578223874,3.54422896644799,0.00941630344930889,0.0477916505879732,TRUE
"PWY-6823: molybdopterin biosynthesis",0.549449936877968,0.155845726119857,3.52560157123204,0.00965469484273864,0.0477916505879732,TRUE
"PWY3O-4107: NAD salvage pathway V (PNC V cycle)",0.423236539710443,0.120310085324615,3.51788080416108,0.00975540908909144,0.0477916505879732,TRUE
"THRESYN-PWY: superpathway of L-threonine biosynthesis",0.384907531312676,0.109080943266251,3.52864139039549,0.0096153503491675,0.0477916505879732,TRUE
"PWY-6143: CMP-pseudaminate biosynthesis",0.464803124716851,0.13411429130556,3.46572404918328,0.0104662145619616,0.0507611406255139,FALSE
"PWY-6897: thiamine diphosphate salvage II",0.416498878354835,0.120662459136433,3.45176852299936,0.0106657435319515,0.0512166892375888,FALSE
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.398557531720658,0.117456016025037,3.39324919411281,0.0115481843813452,0.0527564116019593,FALSE
"COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)",0.453166537280842,0.133776135970749,3.38749907816091,0.0116390433843498,0.0527564116019593,FALSE
"PWY-2941: L-lysine biosynthesis II",0.464518763187299,0.136677030421034,3.39866005104404,0.0114633828449884,0.0527564116019593,FALSE
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0.428584934323622,0.12586775565062,3.4050415224156,0.0113642298229581,0.0527564116019593,FALSE
"PWY-6969: TCA cycle V (2-oxoglutarate synthase)",0.345748119121339,0.101197819617341,3.41655700121521,0.0111876349537677,0.0527564116019593,FALSE
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",0.41203793483963,0.121267804708468,3.397752073027,0.0114775661870189,0.0527564116019593,FALSE
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.34712924911001,0.103397231054338,3.35723931453815,0.0121300279385694,0.0544728106500569,FALSE
"PWY-5690: TCA cycle II (plants and fungi)",0.374326306603568,0.112053435531488,3.34060535340194,0.0124093702882374,0.0547140417254104,FALSE
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II",0.350274354745337,0.104780021851928,3.34294981576101,0.0123695835612017,0.0547140417254104,FALSE
"PWY-7345: superpathway of anaerobic sucrose degradation",0.431288998791626,0.129675050687124,3.32592118920568,0.0126617158932445,0.0553237135875998,FALSE
"PWY-6168: flavin biosynthesis III (fungi)",0.411327034524625,0.124990833907719,3.29085759063187,0.0132868365084741,0.0575367473804459,FALSE
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I",0.338780210242242,0.104133435342335,3.25332789731286,0.0139927744984075,0.0580042361686124,FALSE
"PWY-6527: stachyose degradation",0.421412735196467,0.128696884797549,3.27445948563079,0.0135904749598288,0.0580042361686124,FALSE
"PWY-7237: myo-, chiro- and scyllo-inositol degradation",0.505936219142988,0.155501435457536,3.25357909175795,0.0139879180612705,0.0580042361686124,FALSE
"PWY66-399: gluconeogenesis III",0.35000059763024,0.107365607068955,3.25989492524785,0.0138664031360751,0.0580042361686124,FALSE
"PYRIDNUCSYN-PWY: NAD de novo biosynthesis I (from aspartate)",0.415371305925524,0.127161648559253,3.2664825490366,0.0137408630574823,0.0580042361686124,FALSE
"PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis",-1.04337935058342,0.252836905965286,-4.12668928454091,0.0145330183422143,0.0597331686099488,FALSE
"GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation",0.312476872887077,0.0970878065698032,3.21849760466487,0.0146839629037161,0.0598464034311117,FALSE
"PWY-7688: dTDP-&alpha;-D-ravidosamine and dTDP-4-acetyl-&alpha;-D-ravidosamine biosynthesis",0.666871818160465,0.212170739221407,3.14309042145799,0.0163086351202817,0.0659140669444719,FALSE
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",0.373563311648716,0.119223783038577,3.13329523797984,0.0165333698447998,0.0662701187994042,FALSE
"PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)",0.366765794952396,0.119343850178742,3.07318554247318,0.0179867823801887,0.0715048315933733,FALSE
"PWY-4984: urea cycle",0.352549695371185,0.115403588675983,3.05492835548671,0.0184547006876273,0.072768535231701,FALSE
"PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation",0.438672491514806,0.146888447130514,2.98643290254838,0.0203287669194773,0.0795117093221491,FALSE
"PWY-7013: (S)-propane-1,2-diol degradation",-1.0163011430874,0.304321443199778,-3.33956468003547,0.0205623040662699,0.0797817397771273,FALSE
"ANAEROFRUCAT-PWY: homolactic fermentation",0.320273338676132,0.108412932783533,2.95419864081732,0.0212795988850569,0.0802035309367233,FALSE
"GLUCARDEG-PWY: D-glucarate degradation I",1.21515390561279,0.366302945156504,3.31734680728165,0.0210695811688188,0.0802035309367233,FALSE
"PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance)",0.619629026909319,0.199411574663019,3.1072871670384,0.0209210819090722,0.0802035309367233,FALSE
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)",0.438294859340798,0.148687814759191,2.94775237668697,0.0214753350820185,0.0802035309367233,FALSE
"UDPNACETYLGALSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis II",0.457914236242648,0.155382403764982,2.94701475293978,0.0214978536531423,0.0802035309367233,FALSE
"CENTFERM-PWY: pyruvate fermentation to butanoate",0.442437854817335,0.152008187210768,2.91061858532573,0.0226405773785835,0.0831869699137349,FALSE
"PWY-6692: Fe(II) oxidation",-0.695339124801293,0.238834322263278,-2.91138693221315,0.0226158016007498,0.0831869699137349,FALSE
"GALACTARDEG-PWY: D-galactarate degradation I",1.24100742528687,0.388742625754454,3.19236261492646,0.024200934111905,0.0875929331662234,FALSE
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",1.24100742528687,0.388742625754454,3.19236261492646,0.024200934111905,0.0875929331662234,FALSE
"HSERMETANA-PWY: L-methionine biosynthesis III",0.32452157684423,0.115292406677557,2.81476973372438,0.0259674772710893,0.0926875822935591,FALSE
"PWY-5088: L-glutamate degradation VIII (to propanoate)",0.946367965018229,0.302463783656107,3.1288637389203,0.0259907447256166,0.0926875822935591,FALSE
"PWY-5972: stearate biosynthesis I (animals)",0.275767221575983,0.098278330327314,2.80598195611938,0.026297253146162,0.0930961151524713,FALSE
"PWY0-301: L-ascorbate degradation I (bacterial, anaerobic)",-1.1666980823332,0.376995913613672,-3.09472341795401,0.0270142990893771,0.0946430708460188,FALSE
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",0.324206144070745,0.116435072912284,2.7844371628039,0.0271245089641167,0.0946430708460188,FALSE
"GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate)",0.820702067748245,0.270071769047946,3.03882953276225,0.0287892532800311,0.0997341988629651,FALSE
"PWY-5695: inosine 5-phosphate degradation",0.329812765516524,0.120575881736551,2.73531290641638,0.0291144836515105,0.10014556433321,FALSE
"REDCITCYC: TCA cycle VI (Helicobacter)",0.24516390696073,0.0898590804231911,2.72831533336565,0.0294101570081725,0.100450184147632,FALSE
"GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation",0.344997878188356,0.127283942777455,2.71045876377003,0.0301789862737229,0.102355303096193,FALSE
"PWY-7991: toxoflavin biosynthesis",0.547119291797089,0.202438552703877,2.70264376270959,0.0305220504720887,0.102799961659465,FALSE
"PWY-7761: NAD salvage pathway II (PNC IV cycle)",0.304013025891533,0.113295518797797,2.68336320021727,0.031385968403224,0.104980652934921,FALSE
"PWY-7094: fatty acid salvage",-0.354382522357129,0.13338291912969,-2.656880841036,0.032614384400565,0.108342304344343,FALSE
"PANTO-PWY: phosphopantothenate biosynthesis I",0.355438613947044,0.134108779416433,2.6503754302568,0.0329237455171184,0.108625963100697,FALSE
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",0.509415900477939,0.160721664160023,3.16955342106672,0.033872292867678,0.111000419194756,FALSE
"PWY-6803: phosphatidylcholine acyl editing",0.38961619193566,0.149942915211738,2.59843015180459,0.0355062176523148,0.115573929942098,FALSE
"PWY-5484: glycolysis II (from fructose 6-phosphate)",0.299560214339508,0.1155078179003,2.59341938740522,0.0357662215383893,0.115644116307459,FALSE
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0.287415780948735,0.111597812214974,2.57546071239352,0.0367144247703508,0.117923814659736,FALSE
"P108-PWY: pyruvate fermentation to propanoate I",0.333904623936576,0.13145901812555,2.53999024713299,0.0386645638703289,0.120982667594255,FALSE
"PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II",0.397027417503,0.156304703178422,2.54008618697668,0.0386591469630984,0.120982667594255,FALSE
"PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis",0.660035923911348,0.25957882468413,2.54271867019398,0.0385108189121926,0.120982667594255,FALSE
"PWY-6630: superpathway of L-tyrosine biosynthesis",0.289240498213542,0.113538563034773,2.54750888581315,0.0382424214182147,0.120982667594255,FALSE
"PWY0-1261: anhydromuropeptides recycling I",0.49265503212132,0.194784877776602,2.5292262815512,0.0392773254997979,0.122112197867961,FALSE
"PANTOSYN-PWY: superpathway of coenzyme A biosynthesis I (bacteria)",0.29921131547656,0.119137686947848,2.5114749424969,0.0403098732578778,0.124524130764782,FALSE
"PWY-5101: L-isoleucine biosynthesis II",0.362653906346086,0.147472639804428,2.45912670192262,0.0435209970553809,0.133592933999112,FALSE
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.329024925234345,0.134491074322915,2.44644432272398,0.0443378603322984,0.135244416736885,FALSE
"PWY-8187: L-arginine degradation XIII (reductive Stickland reaction)",0.448836451024223,0.1846584780345,2.43063007884407,0.0453785640167935,0.137553772175905,FALSE
"COLANSYN-PWY: colanic acid building blocks biosynthesis",0.246349360595246,0.10189846265208,2.41759644045245,0.0462551166182457,0.139339947576703,FALSE
"PWY-6961: L-ascorbate degradation II (bacterial, aerobic)",-0.721467577272359,0.278711566075168,-2.58858140489865,0.0489208179193833,0.146460473400623,FALSE
"PWY-5136: fatty acid &beta;-oxidation II (plant peroxisome)",-0.393181952604714,0.170162176712463,-2.31063071830061,0.0541364692067643,0.160098704666346,FALSE
"PWY-6123: inosine-5-phosphate biosynthesis I",0.256811422110778,0.111131087966696,2.3108873206365,0.0541160081291909,0.160098704666346,FALSE
"PWY66-409: superpathway of purine nucleotide salvage",0.221668692500595,0.096893230828434,2.2877624226722,0.0559918892273598,0.164582219850118,FALSE
"METH-ACETATE-PWY: methanogenesis from acetate",0.447645015631891,0.197323267570252,2.26858708120936,0.0575973670860881,0.168281464076824,FALSE
"PWY-6349: CDP-archaeol biosynthesis",0.703529690656329,0.31211183165352,2.25409490863944,0.0588416320140571,0.170887374412082,FALSE
"PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)",0.209623594577526,0.0936139712230872,2.23923407840462,0.0601458099382247,0.171592457764935,FALSE
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)",0.909881677373441,0.405903416634319,2.24162113469757,0.059934369416973,0.171592457764935,FALSE
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)",0.909881677373441,0.405903416634319,2.24162113469757,0.059934369416973,0.171592457764935,FALSE
"P42-PWY: incomplete reductive TCA cycle",0.286984570407903,0.129226281417934,2.22079105936477,0.061805063164598,0.174275904853663,FALSE
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.843169522330312,0.379308072522933,2.22291478460252,0.0616116683823201,0.174275904853663,FALSE
"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",0.466313432820126,0.212424916958342,2.19519178586556,0.0641849600298989,0.179940494881508,FALSE
"PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen",0.312281643027604,0.142896737158833,2.18536580496233,0.0651227793473977,0.1815203907097,FALSE
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",0.361223146994909,0.166287649386369,2.1722788693441,0.0663932665638567,0.182958717519719,FALSE
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",0.564085146916174,0.25958566413777,2.17302118277532,0.0663205405742337,0.182958717519719,FALSE
"PWY-6269: superpathway of adenosylcobalamin salvage from cobinamide II",1.10615935192541,0.474390676757899,2.33174766309736,0.0670652206769841,0.183766282645973,FALSE
"PWY-8190: L-glutamate degradation XI (reductive Stickland reaction)",0.610156939378905,0.282349976327958,2.16099518517469,0.06750866392457,0.183942146086609,FALSE
"PWY-6305: superpathway of putrescine biosynthesis",0.668723547896753,0.313048324305571,2.136167153682,0.0700295428448055,0.186617188350168,FALSE
"PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis",1.01202058576494,0.473550810399084,2.13708975582168,0.0699342022250004,0.186617188350168,FALSE
"PWY-702: L-methionine biosynthesis II",0.293941232270031,0.1375826049683,2.13647090297322,0.0699981393943444,0.186617188350168,FALSE
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",0.338681460543963,0.158038629345094,2.14302959945581,0.0693234894450026,0.186617188350168,FALSE
