"Species","KO","Correlation","FDR","Abs_Correlation","Species_short"
"Mus musculus mobilized endogenous polytropic provirus","K10523",0.916666666666667,0.0253309533152604,0.916666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K10523",0.916666666666667,0.0253309533152604,0.916666666666667,"Exiguobacterium sp. N4-1P"
"Staphylococcus aureus","K02867",-0.916666666666667,0.0253309533152604,0.916666666666667,"Staphylococcus aureus"
"Klebsiella pneumoniae","K10704",0.916666666666667,0.0253309533152604,0.916666666666667,"Klebsiella pneumoniae"
"Staphylococcus aureus","K04257",0.9,0.0345022800856219,0.9,"Staphylococcus aureus"
"Enterococcus faecalis","K02003",0.9,0.0345022800856219,0.9,"Enterococcus faecalis"
"[Clostridium] innocuum","K02003",0.9,0.0345022800856219,0.9,"[Clostridium] innocuum"
"Klebsiella pneumoniae","K02889",0.9,0.0345022800856219,0.9,"Klebsiella pneumoniae"
"Enterococcus faecalis","K02899",0.9,0.0345022800856219,0.9,"Enterococcus faecalis"
"[Clostridium] innocuum","K02899",0.9,0.0345022800856219,0.9,"[Clostridium] innocuum"
"Staphylococcus aureus","K02004",-0.9,0.0345022800856219,0.9,"Staphylococcus aureus"
"[Clostridium] scindens","K02956",-0.9,0.0345022800856219,0.9,"[Clostridium] scindens"
"[Clostridium] innocuum","K03497",0.9,0.0345022800856219,0.9,"[Clostridium] innocuum"
"Klebsiella pneumoniae","K11253",0.9,0.0345022800856219,0.9,"Klebsiella pneumoniae"
"Staphylococcus aureus","K02992",-0.9,0.0345022800856219,0.9,"Staphylococcus aureus"
"Klebsiella pneumoniae","K04257",0.883333333333333,0.0411336316421863,0.883333333333333,"Klebsiella pneumoniae"
"Halomonas sp. N3-2A","K04257",0.883333333333333,0.0411336316421863,0.883333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K04257",0.883333333333333,0.0411336316421863,0.883333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K04257",0.883333333333333,0.0411336316421863,0.883333333333333,"Exiguobacterium sp. N4-1P"
"Mediterraneibacter gnavus","K02003",0.883333333333333,0.0411336316421863,0.883333333333333,"Mediterraneibacter gnavus"
"Flavonifractor plautii","K02003",0.883333333333333,0.0411336316421863,0.883333333333333,"Flavonifractor plautii"
"Eisenbergiella porci","K02003",0.883333333333333,0.0411336316421863,0.883333333333333,"Eisenbergiella porci"
"Staphylococcus aureus","K02889",0.883333333333333,0.0411336316421863,0.883333333333333,"Staphylococcus aureus"
"Muribaculum intestinale","K02913",0.883333333333333,0.0411336316421863,0.883333333333333,"Muribaculum intestinale"
"Bacteroides caecimuris","K02913",0.883333333333333,0.0411336316421863,0.883333333333333,"Bacteroides caecimuris"
"Klebsiella pneumoniae","K02952",-0.883333333333333,0.0411336316421863,0.883333333333333,"Klebsiella pneumoniae"
"Enterocloster bolteae","K03497",0.883333333333333,0.0411336316421863,0.883333333333333,"Enterocloster bolteae"
"Paramuribaculum intestinale","K02884",0.883333333333333,0.0411336316421863,0.883333333333333,"Paramuribaculum intestinale"
"Acutalibacter muris","K02994",0.883333333333333,0.0411336316421863,0.883333333333333,"Acutalibacter muris"
"Halomonas sp. N3-2A","K02867",-0.883333333333333,0.0411336316421863,0.883333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02867",-0.883333333333333,0.0411336316421863,0.883333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02867",-0.883333333333333,0.0411336316421863,0.883333333333333,"Exiguobacterium sp. N4-1P"
"Halomonas sp. N3-2A","K02889",0.866666666666667,0.0479884285767347,0.866666666666667,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02889",0.866666666666667,0.0479884285767347,0.866666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02889",0.866666666666667,0.0479884285767347,0.866666666666667,"Exiguobacterium sp. N4-1P"
"Halomonas sp. N3-2A","K02961",-0.866666666666667,0.0479884285767347,0.866666666666667,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02961",-0.866666666666667,0.0479884285767347,0.866666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02961",-0.866666666666667,0.0479884285767347,0.866666666666667,"Exiguobacterium sp. N4-1P"
"Flavonifractor plautii","K02954",0.866666666666667,0.0479884285767347,0.866666666666667,"Flavonifractor plautii"
"Bacteroides caecimuris","K02963",0.866666666666667,0.0479884285767347,0.866666666666667,"Bacteroides caecimuris"
"Flavonifractor plautii","K02004",0.866666666666667,0.0479884285767347,0.866666666666667,"Flavonifractor plautii"
"Enterococcus faecalis","K03497",0.866666666666667,0.0479884285767347,0.866666666666667,"Enterococcus faecalis"
"Staphylococcus aureus","K02909",-0.866666666666667,0.0479884285767347,0.866666666666667,"Staphylococcus aureus"
"Flavonifractor plautii","K02909",0.866666666666667,0.0479884285767347,0.866666666666667,"Flavonifractor plautii"
"Staphylococcus aureus","K02994",-0.866666666666667,0.0479884285767347,0.866666666666667,"Staphylococcus aureus"
"Klebsiella pneumoniae","K02988",-0.866666666666667,0.0479884285767347,0.866666666666667,"Klebsiella pneumoniae"
"Halomonas sp. N3-2A","K11253",0.866666666666667,0.0479884285767347,0.866666666666667,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K11253",0.866666666666667,0.0479884285767347,0.866666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K11253",0.866666666666667,0.0479884285767347,0.866666666666667,"Exiguobacterium sp. N4-1P"
"Duncaniella dubosii","K01689",0.866666666666667,0.0479884285767347,0.866666666666667,"Duncaniella dubosii"
"Paramuribaculum intestinale","K01689",0.866666666666667,0.0479884285767347,0.866666666666667,"Paramuribaculum intestinale"
"Muribaculum intestinale","K01689",0.866666666666667,0.0479884285767347,0.866666666666667,"Muribaculum intestinale"
"Blautia producta","K02003",0.85,0.0591187871423267,0.85,"Blautia producta"
"Ihubacter sp. rT4E-8","K02003",0.85,0.0591187871423267,0.85,"Ihubacter sp. rT4E-8"
"Bacteroides faecium","K02913",0.85,0.0591187871423267,0.85,"Bacteroides faecium"
"Staphylococcus aureus","K02961",-0.85,0.0591187871423267,0.85,"Staphylococcus aureus"
"Staphylococcus aureus","K02954",-0.85,0.0591187871423267,0.85,"Staphylococcus aureus"
"Bacteroides faecium","K02963",0.85,0.0591187871423267,0.85,"Bacteroides faecium"
"Enterocloster bolteae","K02899",0.85,0.0591187871423267,0.85,"Enterocloster bolteae"
"Staphylococcus aureus","K02952",-0.85,0.0591187871423267,0.85,"Staphylococcus aureus"
"Halomonas sp. N3-2A","K02909",-0.85,0.0591187871423267,0.85,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02909",-0.85,0.0591187871423267,0.85,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02909",-0.85,0.0591187871423267,0.85,"Exiguobacterium sp. N4-1P"
"Mucispirillum schaedleri","K02994",0.85,0.0591187871423267,0.85,"Mucispirillum schaedleri"
"Bacteroides faecium","K07484",0.85,0.0591187871423267,0.85,"Bacteroides faecium"
"Halomonas sp. N3-2A","K02992",-0.85,0.0591187871423267,0.85,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02992",-0.85,0.0591187871423267,0.85,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02992",-0.85,0.0591187871423267,0.85,"Exiguobacterium sp. N4-1P"
"Klebsiella pneumoniae","K03881",0.833333333333333,0.0731345976272465,0.833333333333333,"Klebsiella pneumoniae"
"Mucispirillum schaedleri","K02954",0.833333333333333,0.0731345976272465,0.833333333333333,"Mucispirillum schaedleri"
"Blautia producta","K02899",0.833333333333333,0.0731345976272465,0.833333333333333,"Blautia producta"
"Eisenbergiella porci","K02899",0.833333333333333,0.0731345976272465,0.833333333333333,"Eisenbergiella porci"
"Ihubacter sp. rT4E-8","K02899",0.833333333333333,0.0731345976272465,0.833333333333333,"Ihubacter sp. rT4E-8"
"Ihubacter sp. rT4E-8","K03169",0.833333333333333,0.0731345976272465,0.833333333333333,"Ihubacter sp. rT4E-8"
"Duncaniella dubosii","K02884",0.833333333333333,0.0731345976272465,0.833333333333333,"Duncaniella dubosii"
"Halomonas sp. N3-2A","K02994",-0.833333333333333,0.0731345976272465,0.833333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02994",-0.833333333333333,0.0731345976272465,0.833333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02994",-0.833333333333333,0.0731345976272465,0.833333333333333,"Exiguobacterium sp. N4-1P"
"Muribaculum intestinale","K07484",0.833333333333333,0.0731345976272465,0.833333333333333,"Muribaculum intestinale"
"Duncaniella sp. B8","K01689",0.833333333333333,0.0731345976272465,0.833333333333333,"Duncaniella sp. B8"
"[Clostridium] scindens","K01689",-0.833333333333333,0.0731345976272465,0.833333333333333,"[Clostridium] scindens"
"Bacteroides caecimuris","K01689",0.833333333333333,0.0731345976272465,0.833333333333333,"Bacteroides caecimuris"
"Enterococcus faecalis","K03169",0.816666666666667,0.0959042289339661,0.816666666666667,"Enterococcus faecalis"
"Blautia producta","K03497",0.816666666666667,0.0959042289339661,0.816666666666667,"Blautia producta"
"Mediterraneibacter gnavus","K03497",0.816666666666667,0.0959042289339661,0.816666666666667,"Mediterraneibacter gnavus"
"Bacteroides caecimuris","K07484",0.816666666666667,0.0959042289339661,0.816666666666667,"Bacteroides caecimuris"
"Staphylococcus aureus","K02988",-0.816666666666667,0.0959042289339661,0.816666666666667,"Staphylococcus aureus"
"Halomonas sp. N3-2A","K02965",-0.8,0.117413716163168,0.8,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02965",-0.8,0.117413716163168,0.8,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02965",-0.8,0.117413716163168,0.8,"Exiguobacterium sp. N4-1P"
"Acutalibacter muris","K02003",0.8,0.117413716163168,0.8,"Acutalibacter muris"
"Halomonas sp. N3-2A","K02952",-0.8,0.117413716163168,0.8,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02952",-0.8,0.117413716163168,0.8,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02952",-0.8,0.117413716163168,0.8,"Exiguobacterium sp. N4-1P"
"Klebsiella pneumoniae","K02909",-0.8,0.117413716163168,0.8,"Klebsiella pneumoniae"
"Flavonifractor plautii","K02988",0.8,0.117413716163168,0.8,"Flavonifractor plautii"
"Enterococcus faecalis","K20490",0.8,0.117413716163168,0.8,"Enterococcus faecalis"
"Klebsiella pneumoniae","K02261",0.783333333333333,0.132252179782921,0.783333333333333,"Klebsiella pneumoniae"
"Halomonas sp. N3-2A","K02954",-0.783333333333333,0.132252179782921,0.783333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02954",-0.783333333333333,0.132252179782921,0.783333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02954",-0.783333333333333,0.132252179782921,0.783333333333333,"Exiguobacterium sp. N4-1P"
"Klebsiella pneumoniae","K02262",0.783333333333333,0.132252179782921,0.783333333333333,"Klebsiella pneumoniae"
"Faecalibaculum rodentium","K02963",0.783333333333333,0.132252179782921,0.783333333333333,"Faecalibaculum rodentium"
"Acutalibacter muris","K02004",0.783333333333333,0.132252179782921,0.783333333333333,"Acutalibacter muris"
"Klebsiella pneumoniae","K02004",-0.783333333333333,0.132252179782921,0.783333333333333,"Klebsiella pneumoniae"
"[Clostridium] scindens","K02887",-0.783333333333333,0.132252179782921,0.783333333333333,"[Clostridium] scindens"
"Mediterraneibacter gnavus","K03169",0.783333333333333,0.132252179782921,0.783333333333333,"Mediterraneibacter gnavus"
"Flavonifractor plautii","K03497",0.783333333333333,0.132252179782921,0.783333333333333,"Flavonifractor plautii"
"Eisenbergiella porci","K02358",0.783333333333333,0.132252179782921,0.783333333333333,"Eisenbergiella porci"
"Flavonifractor plautii","K02867",0.783333333333333,0.132252179782921,0.783333333333333,"Flavonifractor plautii"
"Acutalibacter muris","K02988",0.783333333333333,0.132252179782921,0.783333333333333,"Acutalibacter muris"
"Halomonas sp. N3-2A","K02988",-0.783333333333333,0.132252179782921,0.783333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02988",-0.783333333333333,0.132252179782921,0.783333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02988",-0.783333333333333,0.132252179782921,0.783333333333333,"Exiguobacterium sp. N4-1P"
"Enterococcus faecalis","K01689",-0.783333333333333,0.132252179782921,0.783333333333333,"Enterococcus faecalis"
"Enterocloster clostridioformis","K01689",-0.783333333333333,0.132252179782921,0.783333333333333,"Enterocloster clostridioformis"
"Halomonas sp. N3-2A","K02518",-0.766666666666667,0.151367246002918,0.766666666666667,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02518",-0.766666666666667,0.151367246002918,0.766666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02518",-0.766666666666667,0.151367246002918,0.766666666666667,"Exiguobacterium sp. N4-1P"
"Enterocloster bolteae","K02003",0.766666666666667,0.151367246002918,0.766666666666667,"Enterocloster bolteae"
"[Clostridium] scindens","K02913",-0.766666666666667,0.151367246002918,0.766666666666667,"[Clostridium] scindens"
"Faecalibaculum rodentium","K02913",0.766666666666667,0.151367246002918,0.766666666666667,"Faecalibaculum rodentium"
"Klebsiella pneumoniae","K02961",-0.766666666666667,0.151367246002918,0.766666666666667,"Klebsiella pneumoniae"
"Enterocloster clostridioformis","K02954",0.766666666666667,0.151367246002918,0.766666666666667,"Enterocloster clostridioformis"
"Muribaculum intestinale","K02963",0.766666666666667,0.151367246002918,0.766666666666667,"Muribaculum intestinale"
"Muribaculum intestinale","K02884",0.766666666666667,0.151367246002918,0.766666666666667,"Muribaculum intestinale"
"Klebsiella pneumoniae","K02994",-0.766666666666667,0.151367246002918,0.766666666666667,"Klebsiella pneumoniae"
"Mucispirillum schaedleri","K02867",0.766666666666667,0.151367246002918,0.766666666666667,"Mucispirillum schaedleri"
"Klebsiella pneumoniae","K02867",-0.766666666666667,0.151367246002918,0.766666666666667,"Klebsiella pneumoniae"
"Bacteroides caecimuris","K02356",0.766666666666667,0.151367246002918,0.766666666666667,"Bacteroides caecimuris"
"Muribaculum gordoncarteri","K01689",0.766666666666667,0.151367246002918,0.766666666666667,"Muribaculum gordoncarteri"
"Bacteroides faecium","K01689",0.766666666666667,0.151367246002918,0.766666666666667,"Bacteroides faecium"
"Clostridium sp. 10cd*","K02256",0.75,0.177001119514727,0.75,"Clostridium sp. 10cd*"
"Staphylococcus aureus","K02965",-0.75,0.177001119514727,0.75,"Staphylococcus aureus"
"Eisenbergiella porci","K02965",0.75,0.177001119514727,0.75,"Eisenbergiella porci"
"Muribaculum gordoncarteri","K02003",-0.75,0.177001119514727,0.75,"Muribaculum gordoncarteri"
"Blautia producta","K02961",0.75,0.177001119514727,0.75,"Blautia producta"
"[Clostridium] scindens","K02963",-0.75,0.177001119514727,0.75,"[Clostridium] scindens"
"Ihubacter sp. rT4E-8","K03497",0.75,0.177001119514727,0.75,"Ihubacter sp. rT4E-8"
"Acutalibacter muris","K02909",0.75,0.177001119514727,0.75,"Acutalibacter muris"
"Blautia producta","K02909",0.75,0.177001119514727,0.75,"Blautia producta"
"Enterocloster clostridioformis","K02994",0.75,0.177001119514727,0.75,"Enterocloster clostridioformis"
"[Clostridium] innocuum","K01689",-0.75,0.177001119514727,0.75,"[Clostridium] innocuum"
"Halomonas sp. N3-2A","K03881",0.733333333333333,0.191829297433357,0.733333333333333,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K03881",0.733333333333333,0.191829297433357,0.733333333333333,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K03881",0.733333333333333,0.191829297433357,0.733333333333333,"Exiguobacterium sp. N4-1P"
"Duncaniella dubosii","K02003",-0.733333333333333,0.191829297433357,0.733333333333333,"Duncaniella dubosii"
"Paramuribaculum intestinale","K02003",-0.733333333333333,0.191829297433357,0.733333333333333,"Paramuribaculum intestinale"
"Klebsiella pneumoniae","K02954",-0.733333333333333,0.191829297433357,0.733333333333333,"Klebsiella pneumoniae"
"Clostridium sp. 10cd*","K03878",0.733333333333333,0.191829297433357,0.733333333333333,"Clostridium sp. 10cd*"
"Muribaculum gordoncarteri","K02899",-0.733333333333333,0.191829297433357,0.733333333333333,"Muribaculum gordoncarteri"
"Blautia producta","K02004",0.733333333333333,0.191829297433357,0.733333333333333,"Blautia producta"
"Enterocloster bolteae","K03169",0.733333333333333,0.191829297433357,0.733333333333333,"Enterocloster bolteae"
"Bacteroides caecimuris","K02956",0.733333333333333,0.191829297433357,0.733333333333333,"Bacteroides caecimuris"
"Acutalibacter muris","K03497",0.733333333333333,0.191829297433357,0.733333333333333,"Acutalibacter muris"
"Mucispirillum schaedleri","K02909",0.733333333333333,0.191829297433357,0.733333333333333,"Mucispirillum schaedleri"
"Enterococcus faecalis","K02884",-0.733333333333333,0.191829297433357,0.733333333333333,"Enterococcus faecalis"
"Blautia producta","K02994",0.733333333333333,0.191829297433357,0.733333333333333,"Blautia producta"
"[Clostridium] innocuum","K02994",0.733333333333333,0.191829297433357,0.733333333333333,"[Clostridium] innocuum"
"Duncaniella sp. B8","K07484",0.733333333333333,0.191829297433357,0.733333333333333,"Duncaniella sp. B8"
"uncultured Alistipes sp.","K02988",0.733333333333333,0.191829297433357,0.733333333333333,"uncultured Alistipes sp."
"Mucispirillum schaedleri","K11253",-0.733333333333333,0.191829297433357,0.733333333333333,"Mucispirillum schaedleri"
"Acutalibacter muris","K20490",0.733333333333333,0.191829297433357,0.733333333333333,"Acutalibacter muris"
"[Clostridium] scindens","K20490",0.733333333333333,0.191829297433357,0.733333333333333,"[Clostridium] scindens"
"Bacteroides faecium","K02356",0.733333333333333,0.191829297433357,0.733333333333333,"Bacteroides faecium"
"Acutalibacter muris","K03205",0.733333333333333,0.191829297433357,0.733333333333333,"Acutalibacter muris"
"Clostridium sp. 10cd*","K02261",0.716666666666667,0.205169970384257,0.716666666666667,"Clostridium sp. 10cd*"
"Staphylococcus aureus","K03881",0.716666666666667,0.205169970384257,0.716666666666667,"Staphylococcus aureus"
"Staphylococcus aureus","K02518",-0.716666666666667,0.205169970384257,0.716666666666667,"Staphylococcus aureus"
"Eisenbergiella porci","K02518",0.716666666666667,0.205169970384257,0.716666666666667,"Eisenbergiella porci"
"Blautia massiliensis (ex Durand et al. 2017)","K02256",0.716666666666667,0.205169970384257,0.716666666666667,"Blautia massiliensis (ex Durand et al. 2017)"
"Klebsiella pneumoniae","K02256",0.716666666666667,0.205169970384257,0.716666666666667,"Klebsiella pneumoniae"
"Blautia producta","K02965",0.716666666666667,0.205169970384257,0.716666666666667,"Blautia producta"
"Enterocloster clostridioformis","K02003",0.716666666666667,0.205169970384257,0.716666666666667,"Enterocloster clostridioformis"
"Halomonas sp. N3-2A","K02874",-0.716666666666667,0.205169970384257,0.716666666666667,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02874",-0.716666666666667,0.205169970384257,0.716666666666667,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02874",-0.716666666666667,0.205169970384257,0.716666666666667,"Exiguobacterium sp. N4-1P"
"Clostridium sp. 10cd*","K02262",0.716666666666667,0.205169970384257,0.716666666666667,"Clostridium sp. 10cd*"
"Klebsiella pneumoniae","K03878",0.716666666666667,0.205169970384257,0.716666666666667,"Klebsiella pneumoniae"
"Klebsiella pneumoniae","K02914",-0.716666666666667,0.205169970384257,0.716666666666667,"Klebsiella pneumoniae"
"Paramuribaculum intestinale","K02899",-0.716666666666667,0.205169970384257,0.716666666666667,"Paramuribaculum intestinale"
"Faecalibaculum rodentium","K02899",-0.716666666666667,0.205169970384257,0.716666666666667,"Faecalibaculum rodentium"
"[Clostridium] innocuum","K02004",0.716666666666667,0.205169970384257,0.716666666666667,"[Clostridium] innocuum"
"Xanthomonas euvesicatoria","K03704",-0.716666666666667,0.205169970384257,0.716666666666667,"Xanthomonas euvesicatoria"
"[Clostridium] innocuum","K03169",0.716666666666667,0.205169970384257,0.716666666666667,"[Clostridium] innocuum"
"Klebsiella pneumoniae","K03088",-0.716666666666667,0.205169970384257,0.716666666666667,"Klebsiella pneumoniae"
"Enterocloster clostridioformis","K03497",0.716666666666667,0.205169970384257,0.716666666666667,"Enterocloster clostridioformis"
"Mediterraneibacter gnavus","K02884",-0.716666666666667,0.205169970384257,0.716666666666667,"Mediterraneibacter gnavus"
"Enterocloster clostridioformis","K02867",0.716666666666667,0.205169970384257,0.716666666666667,"Enterocloster clostridioformis"
"Acutalibacter muris","K01154",0.716666666666667,0.205169970384257,0.716666666666667,"Acutalibacter muris"
"Mediterraneibacter gnavus","K01689",-0.716666666666667,0.205169970384257,0.716666666666667,"Mediterraneibacter gnavus"
"Faecalibaculum rodentium","K01689",0.716666666666667,0.205169970384257,0.716666666666667,"Faecalibaculum rodentium"
"[Clostridium] scindens","K02003",0.7,0.222632209358475,0.7,"[Clostridium] scindens"
"Halomonas sp. N3-2A","K02003",-0.7,0.222632209358475,0.7,"Halomonas sp. N3-2A"
"Mus musculus mobilized endogenous polytropic provirus","K02003",-0.7,0.222632209358475,0.7,"Mus musculus mobilized endogenous polytropic provirus"
"Exiguobacterium sp. N4-1P","K02003",-0.7,0.222632209358475,0.7,"Exiguobacterium sp. N4-1P"
"Flavonifractor plautii","K02961",0.7,0.222632209358475,0.7,"Flavonifractor plautii"
"Acutalibacter muris","K02954",0.7,0.222632209358475,0.7,"Acutalibacter muris"
"Blautia producta","K02954",0.7,0.222632209358475,0.7,"Blautia producta"
"Bacteroides caecimuris","K02948",0.7,0.222632209358475,0.7,"Bacteroides caecimuris"
"[Clostridium] scindens","K02899",0.7,0.222632209358475,0.7,"[Clostridium] scindens"
"Enterocloster clostridioformis","K02899",0.7,0.222632209358475,0.7,"Enterocloster clostridioformis"
"Muribaculum intestinale","K02887",0.7,0.222632209358475,0.7,"Muribaculum intestinale"
"Blautia producta","K03169",0.7,0.222632209358475,0.7,"Blautia producta"
"Duncaniella dubosii","K02956",0.7,0.222632209358475,0.7,"Duncaniella dubosii"
"Paramuribaculum intestinale","K02956",0.7,0.222632209358475,0.7,"Paramuribaculum intestinale"
"Muribaculum intestinale","K02956",0.7,0.222632209358475,0.7,"Muribaculum intestinale"
"Enterococcus faecalis","K02956",-0.7,0.222632209358475,0.7,"Enterococcus faecalis"
"Faecalibaculum rodentium","K02956",0.7,0.222632209358475,0.7,"Faecalibaculum rodentium"
"Clostridium sp. 10cd*","K03497",0.7,0.222632209358475,0.7,"Clostridium sp. 10cd*"
"Eisenbergiella porci","K03497",0.7,0.222632209358475,0.7,"Eisenbergiella porci"
"Flavonifractor plautii","K13625",-0.7,0.222632209358475,0.7,"Flavonifractor plautii"
"Mediterraneibacter gnavus","K20490",0.7,0.222632209358475,0.7,"Mediterraneibacter gnavus"
"[Clostridium] scindens","K02356",-0.7,0.222632209358475,0.7,"[Clostridium] scindens"
"Acutalibacter muris","K01689",-0.7,0.222632209358475,0.7,"Acutalibacter muris"
"Klebsiella pneumoniae","K03879",0.683333333333333,0.244859262040802,0.683333333333333,"Klebsiella pneumoniae"
"Blautia massiliensis (ex Durand et al. 2017)","K03878",0.683333333333333,0.244859262040802,0.683333333333333,"Blautia massiliensis (ex Durand et al. 2017)"
"Duncaniella sp. B8","K02963",0.683333333333333,0.244859262040802,0.683333333333333,"Duncaniella sp. B8"
"Duncaniella sp. B8","K02899",-0.683333333333333,0.244859262040802,0.683333333333333,"Duncaniella sp. B8"
"Clostridium sp. 10cd*","K02899",0.683333333333333,0.244859262040802,0.683333333333333,"Clostridium sp. 10cd*"
"Xanthomonas euvesicatoria","K02899",-0.683333333333333,0.244859262040802,0.683333333333333,"Xanthomonas euvesicatoria"
"Mucispirillum schaedleri","K02004",0.683333333333333,0.244859262040802,0.683333333333333,"Mucispirillum schaedleri"
"Paramuribaculum intestinale","K02887",0.683333333333333,0.244859262040802,0.683333333333333,"Paramuribaculum intestinale"
