"bacteria","phage","correlation"
"Duncaniella dubosii","OTU_3",0.9
"Muribaculum intestinale","OTU_62",0.9
"Bacteroides humanifaecis","OTU_96",0.9
"Mucispirillum schaedleri","OTU_101",-0.9
"Wansuia hejianensis","OTU_127",-0.9
"Wansuia hejianensis","OTU_146",0.9
"Mediterraneibacter gnavus","OTU_148",0.9
"Blautia obeum","OTU_200",0.9
"Sellimonas catena","OTU_200",0.9
"Hungatella sp. SB206","OTU_236",0.9
"Mediterraneibacter glycyrrhizinilyticus","OTU_236",0.9
"Sporofaciens musculi","OTU_266",0.9
"Eisenbergiella porci","OTU_300",-0.9
"[Ruminococcus] torques","OTU_300",-0.9
"Mucispirillum schaedleri","OTU_341",0.9
"Intestinimonas butyriciproducens","OTU_354",0.9
"Vescimonas coprocola","OTU_354",0.9
"Claveliimonas bilis","OTU_385",0.9
"[Clostridium] innocuum","OTU_412",0.9
"Turicimonas muris","OTU_432",0.9
"Duncaniella dubosii","OTU_445",0.9
"Duncaniella sp. C9","OTU_445",0.9
"Simiaoa sunii","OTU_445",-0.9
"Faecalibacterium prausnitzii","OTU_445",-0.9
"Dorea formicigenerans","OTU_445",-0.9
"Sellimonas catena","OTU_446",-0.9
"Roseburia intestinalis","OTU_447",-0.9
"[Clostridium] innocuum","OTU_463",0.9
"Clostridium sp. M62/1","OTU_465",0.9
"Flavonifractor plautii","OTU_529",0.9
"Dysosmobacter welbionis","OTU_529",0.9
"Oscillibacter hominis","OTU_529",0.9
"Vescimonas fastidiosa","OTU_529",0.9
"Staphylococcus aureus","OTU_534",-0.9
"Sodaliphilus pleomorphus","OTU_545",0.9
"Duncaniella dubosii","OTU_547",0.9
"Paramuribaculum intestinale","OTU_555",0.9
"Lactonifactor longoviformis","OTU_555",-0.9
"Sodaliphilus pleomorphus","OTU_555",0.9
"Parabacteroides distasonis","OTU_561",0.9
"Enterococcus faecium","OTU_564",-0.9
"Lactonifactor longoviformis","OTU_564",-0.9
"Blautia parvula","OTU_564",-0.9
"Duncaniella dubosii","OTU_565",0.9
"Muribaculum intestinale","OTU_565",0.9
"Parabacteroides distasonis","OTU_565",0.9
"Flavonifractor plautii","OTU_568",-0.9
"Enterococcus faecalis","OTU_568",-0.9
"Simiaoa sunii","OTU_568",-0.9
"Dysosmobacter welbionis","OTU_568",-0.9
"Oscillibacter hominis","OTU_568",-0.9
"Sodaliphilus pleomorphus","OTU_568",0.9
"Dorea formicigenerans","OTU_568",-0.9
"Vescimonas fastidiosa","OTU_568",-0.9
"Roseburia intestinalis","OTU_570",-0.9
"Lactonifactor longoviformis","OTU_574",-0.9
"Anaerotruncus colihominis","OTU_494",0.898434142297574
"Xanthomonas euvesicatoria","OTU_702",-0.898434142297574
"Anaerostipes sp. PC18","OTU_1064",-0.898434142297574
"Sodaliphilus pleomorphus","OTU_1076",0.896499928171844
"Turicimonas muris","OTU_54",-0.895405327368624
"[Clostridium] symbiosum","OTU_64",0.895405327368624
"Parabacteroides distasonis","OTU_264",-0.895405327368624
"Wansuia hejianensis","OTU_264",0.895405327368624
"Xanthomonas euvesicatoria","OTU_322",-0.895405327368624
"Roseburia intestinalis","OTU_393",-0.895405327368624
"Duncaniella dubosii","OTU_452",-0.895405327368624
"Blautia producta","OTU_452",0.895405327368624
"Clostridium sp. M62/1","OTU_492",0.895405327368624
"Enterocloster clostridioformis","OTU_549",-0.895405327368624
"Clostridioides difficile","OTU_71",0.894613510591771
"Duncaniella dubosii","OTU_116",-0.894613510591771
"Paramuribaculum intestinale","OTU_116",-0.894613510591771
"[Clostridium] scindens","OTU_116",0.894613510591771
"Enterococcus faecalis","OTU_116",0.894613510591771
"Lactonifactor longoviformis","OTU_116",0.894613510591771
"Anaerotruncus colihominis","OTU_116",0.894613510591771
"Clostridioides difficile","OTU_157",0.894613510591771
"Mediterraneibacter gnavus","OTU_218",0.894613510591771
"[Clostridium] innocuum","OTU_218",0.894613510591771
"Hungatella hathewayi","OTU_218",0.894613510591771
"Faecalibacterium prausnitzii","OTU_218",0.894613510591771
"Marvinbryantia formatexigens","OTU_218",0.894613510591771
"Roseburia hominis","OTU_218",0.894613510591771
"Roseburia faecis","OTU_218",0.894613510591771
"Agathobacter rectalis","OTU_218",0.894613510591771
"Sellimonas catena","OTU_218",0.894613510591771
"Wansuia hejianensis","OTU_218",0.894613510591771
"Blautia parvula","OTU_218",0.894613510591771
"Eisenbergiella porci","OTU_223",0.894613510591771
"Anaerostipes sp. PC18","OTU_223",0.894613510591771
"Alistipes putredinis","OTU_295",-0.894613510591771
"Mediterraneibacter gnavus","OTU_327",0.894613510591771
"[Clostridium] innocuum","OTU_327",0.894613510591771
"Hungatella hathewayi","OTU_327",0.894613510591771
"Faecalibacterium prausnitzii","OTU_327",0.894613510591771
"Marvinbryantia formatexigens","OTU_327",0.894613510591771
"Roseburia hominis","OTU_327",0.894613510591771
"Roseburia faecis","OTU_327",0.894613510591771
"Agathobacter rectalis","OTU_327",0.894613510591771
"Sellimonas catena","OTU_327",0.894613510591771
"Wansuia hejianensis","OTU_327",0.894613510591771
"Blautia parvula","OTU_327",0.894613510591771
"Klebsiella pneumoniae","OTU_491",-0.894613510591771
"Halomonas sp. N3-2A","OTU_491",-0.894613510591771
"Mus musculus mobilized endogenous polytropic provirus","OTU_491",-0.894613510591771
"Exiguobacterium sp. N4-1P","OTU_491",-0.894613510591771
"Enterococcus faecium","OTU_513",0.894613510591771
"Faecalibacterium prausnitzii","OTU_862",-0.894613510591771
"Intestinimonas butyriciproducens","OTU_862",-0.894613510591771
"Enterocloster asparagiformis","OTU_862",-0.894613510591771
"Pseudoflavonifractor gallinarum","OTU_1136",-0.894613510591771
"Oscillibacter sp. PEA192","OTU_1136",-0.894613510591771
"Vescimonas coprocola","OTU_1136",-0.894613510591771
"Enterocloster asparagiformis","OTU_343",0.887796045374059
"Pseudoflavonifractor gallinarum","OTU_345",0.887796045374059
"Oscillibacter sp. PEA192","OTU_345",0.887796045374059
"Pusillibacter faecalis","OTU_360",0.887796045374059
"Claveliimonas bilis","OTU_404",-0.887796045374059
"Sporofaciens musculi","OTU_404",-0.887796045374059
"Dorea longicatena","OTU_404",-0.887796045374059
"Acutalibacter muris","OTU_430",0.887796045374059
"Lawsonibacter asaccharolyticus","OTU_430",0.887796045374059
"Flintibacter sp. KGMB00164","OTU_430",0.887796045374059
"Paramuribaculum intestinale","OTU_468",-0.887796045374059
"Lactonifactor longoviformis","OTU_468",0.887796045374059
"Kineothrix sp. MB12-C1","OTU_468",0.887796045374059
"Blautia producta","OTU_469",0.887796045374059
"Enterococcus faecalis","OTU_469",0.887796045374059
"Ihubacter sp. rT4E-8","OTU_469",0.887796045374059
"Enterocloster lavalensis","OTU_469",0.887796045374059
"Sellimonas intestinalis","OTU_469",0.887796045374059
"Mucispirillum schaedleri","OTU_505",0.887796045374059
"Hungatella hathewayi","OTU_578",0.887796045374059
"Marvinbryantia formatexigens","OTU_578",0.887796045374059
"Mediterraneibacter gnavus","OTU_627",0.887796045374059
"[Clostridium] innocuum","OTU_627",0.887796045374059
"Agathobacter rectalis","OTU_627",0.887796045374059
"Blautia parvula","OTU_627",0.887796045374059
"[Clostridium] symbiosum","OTU_811",0.887796045374059
"Simiaoa sunii","OTU_1076",-0.887796045374059
"Dorea formicigenerans","OTU_1076",-0.887796045374059
"[Clostridium] hylemonae","OTU_264",0.887037053281066
"Paramuribaculum intestinale","OTU_96",0.883333333333333
"Eisenbergiella porci","OTU_117",-0.883333333333333
"[Ruminococcus] torques","OTU_117",-0.883333333333333
"Hungatella sp. SB206","OTU_117",-0.883333333333333
"Clostridium sp. M62/1","OTU_117",-0.883333333333333
"[Clostridium] hylemonae","OTU_117",-0.883333333333333
"Mediterraneibacter glycyrrhizinilyticus","OTU_117",-0.883333333333333
"[Ruminococcus] torques","OTU_127",-0.883333333333333
"Clostridium sp. MD294","OTU_129",-0.883333333333333
"Hungatella sp. SB206","OTU_142",0.883333333333333
"Clostridium sp. M62/1","OTU_142",0.883333333333333
"Mediterraneibacter glycyrrhizinilyticus","OTU_142",0.883333333333333
"Blautia parvula","OTU_142",0.883333333333333
"Muribaculum gordoncarteri","OTU_146",-0.883333333333333
"Ihubacter sp. rT4E-8","OTU_146",0.883333333333333
"Enterocloster lavalensis","OTU_146",0.883333333333333
"Clostridium sp. M62/1","OTU_146",0.883333333333333
"Blautia parvula","OTU_148",0.883333333333333
"Clostridium sp. MD294","OTU_174",-0.883333333333333
"[Clostridium] innocuum","OTU_300",-0.883333333333333
"Blautia parvula","OTU_300",-0.883333333333333
"[Clostridium] symbiosum","OTU_385",0.883333333333333
"Dorea longicatena","OTU_385",0.883333333333333
"Muribaculum gordoncarteri","OTU_412",-0.883333333333333
"Hungatella hathewayi","OTU_412",0.883333333333333
"Agathobacter rectalis","OTU_412",0.883333333333333
"Wansuia hejianensis","OTU_412",0.883333333333333
"Roseburia intestinalis","OTU_429",0.883333333333333
"[Clostridium] innocuum","OTU_445",-0.883333333333333
"Roseburia hominis","OTU_445",-0.883333333333333
"[Ruminococcus] torques","OTU_445",-0.883333333333333
"Enterococcus faecalis","OTU_446",-0.883333333333333
"[Clostridium] scindens","OTU_447",-0.883333333333333
"Anaerobutyricum hallii","OTU_463",0.883333333333333
"Enterococcus faecalis","OTU_464",0.883333333333333
"Sellimonas catena","OTU_464",0.883333333333333
"Enterocloster bolteae","OTU_465",0.883333333333333
"Mediterraneibacter gnavus","OTU_465",0.883333333333333
"Ihubacter sp. rT4E-8","OTU_465",0.883333333333333
"Anaerotruncus colihominis","OTU_465",0.883333333333333
"Turicimonas muris","OTU_467",-0.883333333333333
"Sporofaciens musculi","OTU_499",0.883333333333333
"Acutalibacter muris","OTU_529",0.883333333333333
"Lawsonibacter asaccharolyticus","OTU_529",0.883333333333333
"Flintibacter sp. KGMB00164","OTU_529",0.883333333333333
"Sporofaciens musculi","OTU_534",0.883333333333333
"Lactonifactor longoviformis","OTU_545",-0.883333333333333
"Paramuribaculum intestinale","OTU_547",0.883333333333333
"Enterocloster clostridioformis","OTU_552",0.883333333333333
"Muribaculum intestinale","OTU_561",0.883333333333333
"[Clostridium] hylemonae","OTU_561",-0.883333333333333
"Hungatella hathewayi","OTU_564",-0.883333333333333
"Agathobacter rectalis","OTU_564",-0.883333333333333
"Anaerostipes sp. PC18","OTU_564",-0.883333333333333
"Duncaniella sp. B8","OTU_565",0.883333333333333
"Wansuia hejianensis","OTU_565",-0.883333333333333
"Acutalibacter muris","OTU_568",-0.883333333333333
"[Clostridium] innocuum","OTU_568",-0.883333333333333
"Faecalibacterium prausnitzii","OTU_568",-0.883333333333333
"Enterocloster lavalensis","OTU_568",-0.883333333333333
"Lawsonibacter asaccharolyticus","OTU_568",-0.883333333333333
"Flintibacter sp. KGMB00164","OTU_568",-0.883333333333333
"Intestinimonas butyriciproducens","OTU_568",-0.883333333333333
"Anaerotruncus colihominis","OTU_568",-0.883333333333333
"Halomonas sp. N3-2A","OTU_93",-0.881482554707054
"Mus musculus mobilized endogenous polytropic provirus","OTU_93",-0.881482554707054
"Exiguobacterium sp. N4-1P","OTU_93",-0.881482554707054
"Sellimonas intestinalis","OTU_243",0.881482554707054
"Oscillibacter sp. PEA192","OTU_344",0.881482554707054
"Clostridioides difficile","OTU_396",0.881482554707054
"Claveliimonas bilis","OTU_481",0.881482554707054
"Sporofaciens musculi","OTU_494",0.881482554707054
"Xanthomonas euvesicatoria","OTU_902",-0.881482554707054
"Intestinimonas butyriciproducens","OTU_1064",-0.881482554707054
"Anaerotruncus colihominis","OTU_1064",-0.881482554707054
"Flavonifractor plautii","OTU_452",0.878668779193509
"Marvinbryantia formatexigens","OTU_452",0.878668779193509
"Dysosmobacter welbionis","OTU_452",0.878668779193509
"Oscillibacter hominis","OTU_452",0.878668779193509
"Vescimonas fastidiosa","OTU_452",0.878668779193509
"Hungatella sp. SB206","OTU_492",0.878668779193509
"Mediterraneibacter glycyrrhizinilyticus","OTU_492",0.878668779193509
"Turicimonas muris","OTU_1124",-0.878668779193509
"Blautia producta","OTU_218",0.876356092008266
"Ihubacter sp. rT4E-8","OTU_218",0.876356092008266
"Simiaoa sunii","OTU_218",0.876356092008266
"Enterocloster lavalensis","OTU_218",0.876356092008266
"[Ruminococcus] torques","OTU_218",0.876356092008266
"Blautia obeum","OTU_218",0.876356092008266
"Kineothrix sp. MB12-C1","OTU_218",0.876356092008266
"Dorea formicigenerans","OTU_218",0.876356092008266
"Clostridioides difficile","OTU_283",0.876356092008266
"Alistipes megaguti","OTU_295",-0.876356092008266
"Enterococcus faecium","OTU_298",0.876356092008266
"Blautia producta","OTU_327",0.876356092008266
"Ihubacter sp. rT4E-8","OTU_327",0.876356092008266
"Simiaoa sunii","OTU_327",0.876356092008266
"Enterocloster lavalensis","OTU_327",0.876356092008266
"[Ruminococcus] torques","OTU_327",0.876356092008266
"Blautia obeum","OTU_327",0.876356092008266
"Kineothrix sp. MB12-C1","OTU_327",0.876356092008266
"Dorea formicigenerans","OTU_327",0.876356092008266
"Enterocloster clostridioformis","OTU_343",0.870388279778489
"Mucispirillum schaedleri","OTU_360",0.870388279778489
"Clostridioides difficile","OTU_418",0.870388279778489
"Paramuribaculum intestinale","OTU_578",-0.870388279778489
"Lactonifactor longoviformis","OTU_578",0.870388279778489
"Enterococcus faecalis","OTU_627",0.870388279778489
"Anaerobutyricum hallii","OTU_627",0.870388279778489
"Sellimonas intestinalis","OTU_811",0.870388279778489
"Sellimonas catena","OTU_1076",-0.870388279778489
"Clostridium sp. MD294","OTU_289",0.870300505105952
"Eisenbergiella porci","OTU_452",0.870300505105952
"Faecalibacterium prausnitzii","OTU_452",0.870300505105952
"Blautia parvula","OTU_492",0.870300505105952
"Acutalibacter muris","OTU_4",-0.866666666666667
"Lawsonibacter asaccharolyticus","OTU_4",-0.866666666666667
"Flintibacter sp. KGMB00164","OTU_4",-0.866666666666667
"Clostridium sp. MD294","OTU_63",0.866666666666667
"Enterocloster clostridioformis","OTU_101",-0.866666666666667
"Mucispirillum schaedleri","OTU_114",0.866666666666667
"Parabacteroides distasonis","OTU_117",0.866666666666667
"Lactonifactor longoviformis","OTU_117",-0.866666666666667
"Kineothrix sp. MB12-C1","OTU_117",-0.866666666666667
"Kineothrix sp. MB12-C1","OTU_127",-0.866666666666667
"Lactobacillus johnsonii","OTU_141",0.866666666666667
"Mediterraneibacter gnavus","OTU_142",0.866666666666667
"Hungatella hathewayi","OTU_142",0.866666666666667
"Enterococcus faecium","OTU_146",0.866666666666667
"Roseburia faecis","OTU_146",0.866666666666667
"Blautia obeum","OTU_146",0.866666666666667
"Blautia parvula","OTU_146",0.866666666666667
"Agathobacter rectalis","OTU_148",0.866666666666667
"Duncaniella sp. B8","OTU_152",-0.866666666666667
"[Clostridium] scindens","OTU_200",0.866666666666667
"Eisenbergiella porci","OTU_200",0.866666666666667
"Clostridium sp. M62/1","OTU_200",0.866666666666667
"Clostridium sp. MD294","OTU_266",0.866666666666667
"Blautia producta","OTU_300",-0.866666666666667
"Ihubacter sp. rT4E-8","OTU_300",-0.866666666666667
"Simiaoa sunii","OTU_300",-0.866666666666667
"Faecalibacterium prausnitzii","OTU_300",-0.866666666666667
"Dorea formicigenerans","OTU_300",-0.866666666666667
"Pseudoflavonifractor gallinarum","OTU_329",-0.866666666666667
"Flavonifractor plautii","OTU_354",0.866666666666667
"Dysosmobacter welbionis","OTU_354",0.866666666666667
"Oscillibacter hominis","OTU_354",0.866666666666667
"Vescimonas fastidiosa","OTU_354",0.866666666666667
"[Clostridium] symbiosum","OTU_389",0.866666666666667
"Dorea longicatena","OTU_389",0.866666666666667
"[Clostridium] scindens","OTU_412",0.866666666666667
"Enterococcus faecium","OTU_412",0.866666666666667
"Blautia obeum","OTU_412",0.866666666666667
"Ligilactobacillus murinus","OTU_422",-0.866666666666667
"Eisenbergiella porci","OTU_428",-0.866666666666667
"Flavonifractor plautii","OTU_445",-0.866666666666667
"Enterocloster clostridioformis","OTU_445",-0.866666666666667
"Dysosmobacter welbionis","OTU_445",-0.866666666666667
"Oscillibacter hominis","OTU_445",-0.866666666666667
"Sellimonas catena","OTU_445",-0.866666666666667
"Vescimonas fastidiosa","OTU_445",-0.866666666666667
"Wansuia hejianensis","OTU_446",-0.866666666666667
"Enterococcus faecalis","OTU_447",-0.866666666666667
"Enterococcus faecalis","OTU_463",0.866666666666667
"Enterocloster lavalensis","OTU_463",0.866666666666667
"Sellimonas intestinalis","OTU_463",0.866666666666667
"Hungatella hathewayi","OTU_464",0.866666666666667
"Enterocloster lavalensis","OTU_464",0.866666666666667
"Agathobacter rectalis","OTU_464",0.866666666666667
"Wansuia hejianensis","OTU_464",0.866666666666667
"Enterococcus faecalis","OTU_465",0.866666666666667
"Eisenbergiella porci","OTU_465",0.866666666666667
"Sellimonas intestinalis","OTU_465",0.866666666666667
"Blautia obeum","OTU_465",0.866666666666667
"Intestinimonas butyriciproducens","OTU_465",0.866666666666667
"Faecalibacterium prausnitzii","OTU_493",0.866666666666667
"Halomonas sp. N3-2A","OTU_509",-0.866666666666667
"Mus musculus mobilized endogenous polytropic provirus","OTU_509",-0.866666666666667
"Exiguobacterium sp. N4-1P","OTU_509",-0.866666666666667
"Simiaoa sunii","OTU_529",0.866666666666667
"Pseudoflavonifractor gallinarum","OTU_529",0.866666666666667
"Dorea formicigenerans","OTU_529",0.866666666666667
"Halomonas sp. N3-2A","OTU_534",-0.866666666666667
"Mus musculus mobilized endogenous polytropic provirus","OTU_534",-0.866666666666667
"Exiguobacterium sp. N4-1P","OTU_534",-0.866666666666667
"Pusillibacter faecalis","OTU_534",0.866666666666667
"Muribaculum gordoncarteri","OTU_545",0.866666666666667
"Faecalibaculum rodentium","OTU_545",0.866666666666667
"[Clostridium] hylemonae","OTU_545",-0.866666666666667
"Wansuia hejianensis","OTU_545",-0.866666666666667
"[Ruminococcus] torques","OTU_547",-0.866666666666667
"Wansuia hejianensis","OTU_561",-0.866666666666667
"[Ruminococcus] torques","OTU_562",-0.866666666666667
"Enterococcus faecalis","OTU_564",-0.866666666666667
"Ihubacter sp. rT4E-8","OTU_564",-0.866666666666667
"[Ruminococcus] torques","OTU_565",-0.866666666666667
"Sellimonas catena","OTU_565",-0.866666666666667
"[Clostridium] scindens","OTU_566",-0.866666666666667
"Parabacteroides distasonis","OTU_566",0.866666666666667
"Lactonifactor longoviformis","OTU_566",-0.866666666666667
"Alistipes shahii","OTU_569",-0.866666666666667
"Enterocloster asparagiformis","OTU_104",0.864530967116533
"Sporofaciens musculi","OTU_104",0.864530967116533
"Clostridioides difficile","OTU_171",0.864530967116533
"Anaerobutyricum hallii","OTU_243",0.864530967116533
